id,name,applicability
account_tag_SAFT_4456,"SAFT 4456",accounts
account_tag_SAFT_4457,"SAFT 4457",accounts
account_tag_SAFT_4458,"SAFT 4458",accounts
account_tag_SAFT_4459,"SAFT 4459",accounts
account_tag_SAFT_4460,"SAFT 4460",accounts
account_tag_SAFT_4461,"SAFT 4461",accounts
account_tag_SAFT_4462,"SAFT 4462",accounts
account_tag_SAFT_4466,"SAFT 4466",accounts
account_tag_SAFT_4469,"SAFT 4469",accounts
account_tag_SAFT_4470,"SAFT 4470",accounts
account_tag_SAFT_4480,"SAFT 4480",accounts
account_tag_SAFT_4481,"SAFT 4481",accounts
account_tag_SAFT_4482,"SAFT 4482",accounts
account_tag_SAFT_4486,"SAFT 4486",accounts
account_tag_SAFT_4489,"SAFT 4489",accounts
account_tag_SAFT_4490,"SAFT 4490",accounts
account_tag_SAFT_4500,"SAFT 4500",accounts
account_tag_SAFT_4510,"SAFT 4510",accounts
account_tag_SAFT_4520,"SAFT 4520",accounts
account_tag_SAFT_4580,"SAFT 4580",accounts
account_tag_SAFT_4600,"SAFT 4600",accounts
account_tag_SAFT_4605,"SAFT 4605",accounts
account_tag_SAFT_4610,"SAFT 4610",accounts
account_tag_SAFT_4630,"SAFT 4630",accounts
account_tag_SAFT_4631,"SAFT 4631",accounts
account_tag_SAFT_4660,"SAFT 4660",accounts
account_tag_SAFT_4700,"SAFT 4700",accounts
account_tag_SAFT_4701,"SAFT 4701",accounts
account_tag_SAFT_4702,"SAFT 4702",accounts
account_tag_SAFT_4705,"SAFT 4705",accounts
account_tag_SAFT_4709,"SAFT 4709",accounts
account_tag_SAFT_4800,"SAFT 4800",accounts
account_tag_SAFT_4810,"SAFT 4810",accounts
account_tag_SAFT_4820,"SAFT 4820",accounts
account_tag_SAFT_4826,"SAFT 4826",accounts
account_tag_SAFT_4829,"SAFT 4829",accounts
account_tag_SAFT_4830,"SAFT 4830",accounts
account_tag_SAFT_4831,"SAFT 4831",accounts
account_tag_SAFT_4835,"SAFT 4835",accounts
account_tag_SAFT_4840,"SAFT 4840",accounts
account_tag_SAFT_4850,"SAFT 4850",accounts
account_tag_SAFT_4851,"SAFT 4851",accounts
account_tag_SAFT_4852,"SAFT 4852",accounts
account_tag_SAFT_4855,"SAFT 4855",accounts
account_tag_SAFT_4860,"SAFT 4860",accounts
account_tag_SAFT_4865,"SAFT 4865",accounts
account_tag_SAFT_4866,"SAFT 4866",accounts
account_tag_SAFT_4867,"SAFT 4867",accounts
account_tag_SAFT_4870,"SAFT 4870",accounts
account_tag_SAFT_4871,"SAFT 4871",accounts
account_tag_SAFT_4872,"SAFT 4872",accounts
account_tag_SAFT_4875,"SAFT 4875",accounts
account_tag_SAFT_4880,"SAFT 4880",accounts
account_tag_SAFT_4881,"SAFT 4881",accounts
account_tag_SAFT_4882,"SAFT 4882",accounts
account_tag_SAFT_4885,"SAFT 4885",accounts
account_tag_SAFT_4900,"SAFT 4900",accounts
account_tag_SAFT_4901,"SAFT 4901",accounts
account_tag_SAFT_4902,"SAFT 4902",accounts
account_tag_SAFT_4903,"SAFT 4903",accounts
account_tag_SAFT_4940,"SAFT 4940",accounts
account_tag_SAFT_4941,"SAFT 4941",accounts
account_tag_SAFT_4942,"SAFT 4942",accounts
account_tag_SAFT_4943,"SAFT 4943",accounts
account_tag_SAFT_4980,"SAFT 4980",accounts
account_tag_SAFT_4981,"SAFT 4981",accounts
account_tag_SAFT_4982,"SAFT 4982",accounts
account_tag_SAFT_4983,"SAFT 4983",accounts
account_tag_SAFT_4995,"SAFT 4995",accounts
account_tag_SAFT_4999,"SAFT 4999",accounts
account_tag_SAFT_5000,"SAFT 5000",accounts
account_tag_SAFT_5001,"SAFT 5001",accounts
account_tag_SAFT_5002,"SAFT 5002",accounts
account_tag_SAFT_5003,"SAFT 5003",accounts
account_tag_SAFT_5004,"SAFT 5004",accounts
account_tag_SAFT_5005,"SAFT 5005",accounts
account_tag_SAFT_5006,"SAFT 5006",accounts
account_tag_SAFT_5007,"SAFT 5007",accounts
account_tag_SAFT_5080,"SAFT 5080",accounts
account_tag_SAFT_5084,"SAFT 5084",accounts
account_tag_SAFT_5100,"SAFT 5100",accounts
account_tag_SAFT_5200,"SAFT 5200",accounts
account_tag_SAFT_5300,"SAFT 5300",accounts
account_tag_SAFT_5310,"SAFT 5310",accounts
account_tag_SAFT_5320,"SAFT 5320",accounts
account_tag_SAFT_5330,"SAFT 5330",accounts
account_tag_SAFT_5340,"SAFT 5340",accounts
account_tag_SAFT_5350,"SAFT 5350",accounts
account_tag_SAFT_5360,"SAFT 5360",accounts
account_tag_SAFT_5370,"SAFT 5370",accounts
account_tag_SAFT_5400,"SAFT 5400",accounts
account_tag_SAFT_5410,"SAFT 5410",accounts
account_tag_SAFT_5411,"SAFT 5411",accounts
account_tag_SAFT_5412,"SAFT 5412",accounts
account_tag_SAFT_5414,"SAFT 5414",accounts
account_tag_SAFT_5415,"SAFT 5415",accounts
account_tag_SAFT_5416,"SAFT 5416",accounts
account_tag_SAFT_5417,"SAFT 5417",accounts
account_tag_SAFT_5440,"SAFT 5440",accounts
account_tag_SAFT_5441,"SAFT 5441",accounts
account_tag_SAFT_5450,"SAFT 5450",accounts
account_tag_SAFT_5451,"SAFT 5451",accounts
account_tag_SAFT_5460,"SAFT 5460",accounts
account_tag_SAFT_5461,"SAFT 5461",accounts
account_tag_SAFT_5470,"SAFT 5470",accounts
account_tag_SAFT_5471,"SAFT 5471",accounts
account_tag_SAFT_5500,"SAFT 5500",accounts
account_tag_SAFT_5501,"SAFT 5501",accounts
account_tag_SAFT_5600,"SAFT 5600",accounts
account_tag_SAFT_5601,"SAFT 5601",accounts
account_tag_SAFT_5610,"SAFT 5610",accounts
account_tag_SAFT_5615,"SAFT 5615",accounts
account_tag_SAFT_5620,"SAFT 5620",accounts
account_tag_SAFT_5621,"SAFT 5621",accounts
account_tag_SAFT_5700,"SAFT 5700",accounts
account_tag_SAFT_5750,"SAFT 5750",accounts
